Person,M00,M01,M02,M10,M11,M12,M20,M21,M22
1,288915,45931365,7310788545,25170540,4002586335,637203057855,2288388870,363929138205,-10455640027
1,288915,45905355,7302509205,25149630,3997603635,636146229225,2283721860,363087329655,-5601629311
1,298095,47297655,7513773645,25948800,4119613230,654792240030,2358042120,374518240410,-23037166750
1,302175,47926230,7610842710,26237715,4164228030,661702319790,2378343945,377668725630,-21825443074
1,310845,49304250,7830348240,27030765,4290658050,681898277970,2456999715,390240533670,-31885073950
1,316965,50246985,7975768875,27566775,4373278305,694648039545,2509724535,398394892815,-36505147925
1,319770,50688390,8045262750,27755220,4403379015,699453105015,2526301320,401094454395,-27293900325
1,326910,51804525,8220199125,28416690,4507471035,715873806555,2593796760,411780442575,-37032396877
1,330735,52415505,8317887585,28823670,4572585285,726299804385,2641482270,419427879315,-33981649837
1,332775,52740630,8369960880,29126100,4620819045,734016102345,2680762470,425699441115,-35538947821
1,324360,69534165,14916357345,27225075,5837298075,1252385547105,2410629495,516833504535,10839810497
1,325635,69640500,14904000810,27046830,5785642725,1238471417025,2369386050,506859480435,11874349111
1,335835,71609865,15280451445,27912045,5953108110,1270572714480,2451250485,522859686210,697056296
1,341190,72574530,15448844520,28280265,6017036100,1281119039670,2480832525,527910520680,-5461108214
1,339915,72139245,15321645165,27936015,5930759910,1259997678840,2432911905,516614861670,-10704840136
1,335070,70912185,15018997905,27280410,5775630150,1223665584330,2356052610,498946173810,3633726658
1,329460,69642030,14732437320,26694165,5644833510,1194533710110,2293503405,485103302970,5095246866
1,327675,69050685,14562745785,26460840,5577755760,1176640913460,2263456500,477196884660,9396233392
1,333285,70010505,14719077105,27079215,5689336365,1196287511625,2332220055,490010954685,5482428073
1,335835,70374900,14759737110,27535155,5770012245,1210077765765,2396092965,502015994625,12219199881
1,358020,92133030,23722206810,38121990,9812215635,1332879023287,4211842650,1084230794595,6018496239
1,344505,88382490,22686264210,37147635,9531275760,1261311242724,4147783335,1064367397470,8414766550
1,355470,90670860,23139875040,36859740,9405717330,1465007013502,3985026780,1017216492930,2262819462
1,317985,80917365,20602598775,33476910,8519182545,1408887143433,3642701520,927038568075,3277567399
1,322320,81659670,20700663360,33912960,8592043695,1439306859203,3694166130,935944035075,2126925007
1,353430,89079915,22465297275,37143555,9363341940,1408185699588,4079239845,1028327231550,-11837788710
1,363630,91233900,22904601840,38737305,9719587140,1375034226172,4313375745,1082146902720,5884119640
1,372045,92921235,23222322405,39876645,9959584980,1419543616056,4466465505,1115407141770,-6674734518
1,375105,93308835,23225193195,40210695,10001797680,1475648782114,4505501415,1120425931410,-4012405760
1,379950,93966990,23254548030,40551120,10027120200,1591917905118,4517240850,1116721422990,-37312606804
1,281265,45028155,7216809825,24062310,3851238480,617076012150,2144143530,343087961940,-16395097294
1,288660,46252155,7419107445,24885195,3985887915,639091121715,2242845105,359083529265,-27889937155
1,286875,45986445,7379745645,24727350,3962338155,635593480515,2227053210,356710573725,-26708794667
1,282540,45292590,7268287440,24348675,3901989600,625944221100,2192274015,351194456820,-15040483040
1,283050,45354555,7275092115,24484845,3922481910,629017617270,2213826105,354557472810,-10223378886
1,278970,44671920,7160827890,24116370,3861269925,618841654335,2177183370,348522316665,-4413439273
1,278460,44548755,7134472365,24260700,3880901100,621432165420,2206207470,352860922110,-2759729998
1,279480,44683395,7151488005,24418290,3904533480,624965914110,2226805860,356090307390,1503864020
1,283560,45282645,7239150375,24764580,3956129925,632640064905,2257327320,360699000165,1504584233
1,290190,46300095,7395412845,25251885,4030985175,644150422695,2295834615,366624733515,-4584343721
1,269535,59380830,13090179180,21591105,4756263315,1048368528915,1810268205,398709380235,23090869343
1,274125,60357480,13297703280,22025370,4848466725,1067917926435,1853334900,407858597145,18793893215
1,281010,61858920,13625206920,22616205,4976580255,1095700418685,1908703815,419816752275,20131357669
1,285600,62839650,13834684830,23017830,5062368630,1114019200230,1946743950,427950633390,15202886838
1,294270,64662900,14217210840,23948325,5259378315,1155668114355,2053069005,450587769045,7047956645
1,295800,64949265,14269083705,24165075,5303241375,1164476567115,2079488025,456090773085,7738689669
1,296565,65046930,14275126950,24224745,5310318390,1164715505940,2083234995,456380718030,7112884236
1,307530,67316940,14743777680,25666005,5613600600,1228468902540,2260422255,493942419480,3313480812
1,302430,66106455,14458086135,25246020,5514429570,1205176031580,2223216480,485199381360,3625489598
1,308295,67209840,14660583420,25865670,5634980820,1228308361680,2288053800,498059354190,2070323314
1,277440,75180120,20380663860,28159140,7632433560,931406247080,2952176820,800318272140,-11281007012
1,276930,74980455,20309813895,28136955,7619604510,951844281866,2951088735,799250679450,-16774401262
1,280245,75807675,20514996075,28350390,7669731390,993431359008,2958613530,800427957330,-22921464944
1,284070,76728480,20733190650,28828005,7786719525,996001925517,3017433615,815014322745,-30135382631
